City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,onguday,50.75,86.15,-18.92,82,100,0.91,RU,1708156891
123,trongsa,27.5026,90.5072,14.66,46,7,4.14,BT,1708156891
124,bardai,11.65,7.2333,21.35,20,75,7.15,NG,1708156892
125,rio gallegos,-51.6226,-69.2181,11.03,93,40,5.14,AR,1708156892
126,rabigh,22.7986,39.0349,22.36,32,0,3.12,SA,1708156893
127,sur,22.5667,59.5289,26.87,39,17,2.44,OM,1708156504
128,t'ongch'on-up,38.9539,127.8917,6.69,61,9,3.62,KP,1708156894
129,laojunmiao,39.8333,97.7333,-8.71,54,100,5.58,CN,1708156895
130,merizo village,13.2658,144.6691,29.21,86,10,5.23,GU,1708156895
131,siverskiy,59.3544,30.0783,0.98,97,100,7.12,RU,1708156897
132,narwana,29.6167,76.1167,27.99,8,69,4.05,IN,1708156897
133,tiksi,71.6872,128.8694,-36.51,100,90,0.74,RU,1708156898
134,pimentel,-6.8367,-79.9342,25.16,78,100,3.6,PE,1708156898
135,jamjamal,35.5365,44.8317,9.19,90,100,3.49,IQ,1708156899
136,bel ombre,-4.6167,55.4167,29.91,79,40,6.69,SC,1708156900
137,riberalta,-10.9833,-66.1,23.74,95,86,1.02,BO,1708156900
138,chervonohrad,50.391,24.2351,5.5,65,44,3.86,UA,1708156901
139,acapulco de juarez,16.8634,-99.8901,25.6,79,99,3.19,MX,1708156604
140,bilibino,68.0546,166.4372,-25.22,88,100,1.93,RU,1708156902
141,port lincoln,-34.7333,135.8667,23.41,49,41,5.43,AU,1708156427
142,rosarito,32.3333,-117.0333,12.92,91,15,2.06,MX,1708156805
143,bac lieu,9.285,105.7244,29.75,55,100,7.5,VN,1708156386
144,bereznik,62.8551,42.7072,-12.78,90,100,6.48,RU,1708156905
145,turkestan,43.3333,68.25,-1.78,15,100,10.99,KZ,1708156906
146,christiana,-27.914,25.1611,24.3,15,4,1.15,ZA,1708156907
147,nova sintra,14.8667,-24.7167,20.7,80,88,9.92,CV,1708156907
148,ad dilam,23.9915,47.1627,22.23,29,0,5.53,SA,1708156894
149,okhotsk,59.3833,143.3,-29.38,89,33,1.84,RU,1708156909
150,kununurra,-15.7667,128.7333,37.99,39,78,3.6,AU,1708156457
151,pingdu,36.7844,119.9464,9.15,64,31,7.47,CN,1708156910
152,kamensk-ural'skiy,56.4185,61.9329,-12.37,74,95,3.05,RU,1708156911
153,general acha,-37.377,-64.6043,18.38,65,0,5.97,AR,1708156911
154,tolanaro,-25.0319,46.9987,24.04,100,75,3.09,MG,1708156324
155,bikenibeu village,1.3673,173.1241,27.98,89,75,4.12,KI,1708156913
156,uturoa,-16.7333,-151.4333,28.11,82,61,7.61,PF,1708156469
157,avarua,-21.2078,-159.775,24.03,88,40,1.03,CK,1708156914
158,ulsteinvik,62.3432,5.8487,2.26,76,23,2.68,NO,1708156455
159,rudnichnyy,59.617,52.4703,-14.88,92,86,3.06,RU,1708156443
160,castillos,-34.1667,-53.8333,18.83,93,42,1.24,UY,1708156384
161,guozhen,34.3659,107.359,17.03,39,2,2.79,CN,1708156916
162,fada,9.5667,8.3,27.65,15,95,1.61,NG,1708156917
163,sumqayit,40.5897,49.6686,3.04,72,98,8.61,AZ,1708156917
164,akjoujt,19.6969,-14.4164,24.97,14,0,3.94,MR,1708156727
165,lewiston orchards,46.3804,-116.9754,-0.63,82,0,2.06,US,1708156529
166,port-cartier,50.0334,-66.8654,-12.18,78,100,3.92,CA,1708156919
167,birao,10.2849,22.7882,27.02,15,100,6.24,CF,1708156920
168,tura,25.5198,90.2201,26.57,21,0,3.03,IN,1708156920
169,antofagasta,-23.65,-70.4,19.6,84,100,2.32,CL,1708156666
170,hadibu,12.65,54.0333,27.18,55,8,4.1,YE,1708156585
171,udachny,66.4167,112.4,-36.42,66,47,2.89,RU,1708156922
172,jamestown,42.097,-79.2353,-4.23,93,100,2.24,US,1708156728
173,ilulissat,69.2167,-51.1,-15.99,85,75,1.54,GL,1708156924
174,elesbao veloso,-6.2019,-42.1403,21.91,97,96,0.68,BR,1708156924
175,bodaybo,57.8506,114.1933,-20.46,83,100,3.81,RU,1708156925
176,big bear city,34.2611,-116.845,3.73,74,0,0.0,US,1708156926
177,san matias,-16.3667,-58.4,25.44,69,89,0.76,BO,1708156927
178,upington,-28.4478,21.2561,24.21,20,0,1.03,ZA,1708156927
179,kone,-21.0595,164.8658,25.95,74,39,2.62,NC,1708156928
180,saipan,15.1355,145.701,26.61,84,22,7.24,MP,1708156929
181,freeport,40.6576,-73.5832,0.14,87,100,2.57,US,1708156930
182,sirjan,29.452,55.6814,18.7,40,77,8.5,IR,1708156930
183,abqaiq,25.9371,49.6776,25.13,48,0,8.44,SA,1708156931
184,fort bragg,35.139,-79.006,13.08,72,40,4.63,US,1708156932
185,kargasok,59.0556,80.8572,-21.69,90,100,4.02,RU,1708156932
